round,avgFit,bestFit,avgNode,bestNode,bestBotName
0,0.053567487876400324,0.5155315175432235,567.8666666666667,516,sampleex.X_GPbot_0_7
1,0.13500683289671545,0.5069134819641011,573.5,516,sampleex.X_GPbot_1_1
2,0.3353914688468874,0.561678806523342,598.6333333333333,402,sampleex.X_GPbot_2_24
3,0.47810758058088454,0.5695231122675151,427.96666666666664,512,sampleex.X_GPbot_3_15
4,0.48450118187761343,0.5703246125444745,465.6,506,sampleex.X_GPbot_4_20
5,0.4696384053500135,0.566384941480515,475.4,506,sampleex.X_GPbot_5_3
6,0.512679151968912,0.6142495082866967,491.1666666666667,506,sampleex.X_GPbot_6_0
7,0.5230488164049413,0.6405479738528909,457.56666666666666,434,sampleex.X_GPbot_7_21
8,0.5353860925685505,0.6336908372517828,441.6666666666667,416,sampleex.X_GPbot_8_2
9,0.5125423225079299,0.6338630620292026,430.26666666666665,416,sampleex.X_GPbot_9_0
10,0.5298591039652127,0.6810703424467914,421.3,422,sampleex.X_GPbot_10_17
11,0.5979958411655271,0.8209439358764294,400.3666666666667,388,sampleex.X_GPbot_11_8
12,0.6100342797672802,0.8035939697504477,382.1333333333333,360,sampleex.X_GPbot_12_20
13,0.6907757524221813,0.8217251239127398,376.93333333333334,388,sampleex.X_GPbot_13_13
14,0.7050617634309309,0.7996958254098291,356.3666666666667,395,sampleex.X_GPbot_14_2
15,0.7105985337837069,0.8173288134435769,362.93333333333334,446,sampleex.X_GPbot_15_14
16,0.721206995975016,0.8538810049671824,391.3666666666667,394,sampleex.X_GPbot_16_14
17,0.6894029418223725,0.7950318093704959,379.5,394,sampleex.X_GPbot_17_0
18,0.7246104791276287,0.8248280557709152,392.6,401,sampleex.X_GPbot_18_24
19,0.6752447026575268,0.8430007522290919,392.1333333333333,387,sampleex.X_GPbot_19_16
20,0.6909459086918678,0.8244348682767241,385.1,417,sampleex.X_GPbot_20_23
21,0.6891346800219985,0.8224598674461715,392.1666666666667,470,sampleex.X_GPbot_21_26
22,0.7000228430378371,0.8206953975075151,419.3,478,sampleex.X_GPbot_22_28
23,0.6932839646083787,0.8214028903418386,411.9,459,sampleex.X_GPbot_23_17
24,0.6845609611587328,0.8158744974680167,404.0,396,sampleex.X_GPbot_24_12
25,0.7250944823768973,0.8249386534963646,379.06666666666666,326,sampleex.X_GPbot_25_25
26,0.7171178108381078,0.7992624170404596,408.4,459,sampleex.X_GPbot_26_2
27,0.7078400948679866,0.8667041497443755,406.1666666666667,466,sampleex.X_GPbot_27_18
28,0.7154425985094776,0.8159923009612635,416.8333333333333,314,sampleex.X_GPbot_28_17
29,0.7105478473340335,0.863341116426645,399.93333333333334,326,sampleex.X_GPbot_29_7
30,0.7071557100955935,0.8380229796178593,402.1666666666667,466,sampleex.X_GPbot_30_1
31,0.6874592905002912,0.8255711516808347,425.7,466,sampleex.X_GPbot_31_6
32,0.7031186064637759,0.8474610684080064,420.3666666666667,468,sampleex.X_GPbot_32_2
33,0.7190907729406928,0.8336904666106014,436.6333333333333,456,sampleex.X_GPbot_33_24
34,0.7399179720385588,0.8267250641686402,432.6333333333333,463,sampleex.X_GPbot_34_25
35,0.6882928132940577,0.8392920115673125,429.1,459,sampleex.X_GPbot_35_18
36,0.6983126478378066,0.817249609787862,444.2,462,sampleex.X_GPbot_36_24
37,0.7454107038675329,0.8456358892553825,445.06666666666666,494,sampleex.X_GPbot_37_7
38,0.7089610497027585,0.8364434599764291,451.8666666666667,466,sampleex.X_GPbot_38_1
39,0.7215583232803507,0.8345983596796186,459.1666666666667,388,sampleex.X_GPbot_39_28
40,0.7042911075156884,0.8592835466752339,447.0,380,sampleex.X_GPbot_40_27
41,0.703812969052418,0.8289084133987835,409.5,419,sampleex.X_GPbot_41_9
42,0.7111668181176078,0.8389200267047642,399.96666666666664,419,sampleex.X_GPbot_42_0
43,0.7191254318836731,0.818327074910732,411.46666666666664,419,sampleex.X_GPbot_43_16
44,0.7163439908054212,0.8323505676500066,387.7,417,sampleex.X_GPbot_44_22
45,0.7182973662403929,0.8456891829346431,411.3333333333333,390,sampleex.X_GPbot_45_28
46,0.7098494650001537,0.833224142474868,417.6666666666667,438,sampleex.X_GPbot_46_6
47,0.7478804059104452,0.8653624823271008,395.26666666666665,426,sampleex.X_GPbot_47_8
48,0.7339810167390333,0.86369711956695,422.6333333333333,431,sampleex.X_GPbot_48_10
49,0.681949652383453,0.8862038280567633,430.7,466,sampleex.X_GPbot_49_28
