round,avgFit,bestFit,avgNode,bestNode,bestBotName
0,0.05280500946086607,0.2877803906742867,582.9,471,sampleex.X_GPbot_0_7
1,0.146899828975683,0.47815240044744245,616.2,623,sampleex.X_GPbot_1_21
2,0.2688115394677223,0.5524632373170162,580.3666666666667,625,sampleex.X_GPbot_2_20
3,0.39968039041664927,0.5456106523646361,583.4,444,sampleex.X_GPbot_3_2
4,0.4667522359613824,0.6012257241458797,543.4333333333333,536,sampleex.X_GPbot_4_29
5,0.46254521267876475,0.5751687675158518,514.6,550,sampleex.X_GPbot_5_21
6,0.4851157433642347,0.6527801689268581,539.2333333333333,610,sampleex.X_GPbot_6_3
7,0.5044482785950671,0.6592231884953205,515.3666666666667,610,sampleex.X_GPbot_7_1
8,0.5753749402946243,0.6861584266568487,560.2333333333333,610,sampleex.X_GPbot_8_1
9,0.6270627062478552,0.7073800187027964,592.9,610,sampleex.X_GPbot_9_17
10,0.6186456993780912,0.6929255969515555,582.2666666666667,536,sampleex.X_GPbot_10_2
11,0.6420039661922311,0.7708940719915788,567.3,582,sampleex.X_GPbot_11_11
12,0.6420436119527271,0.7065676754232091,545.0,610,sampleex.X_GPbot_12_11
13,0.6570480901167197,0.741232140672729,536.6,565,sampleex.X_GPbot_13_9
14,0.6046889269885138,0.7635410602108442,546.9,577,sampleex.X_GPbot_14_3
15,0.6414507002330037,0.7723813225715537,552.0333333333333,583,sampleex.X_GPbot_15_7
16,0.6662831500533982,0.8056924868933351,548.4,583,sampleex.X_GPbot_16_1
17,0.7129625078733834,0.8284467365552057,570.9,583,sampleex.X_GPbot_17_0
18,0.6657544516641524,0.8156875497609258,566.6666666666666,540,sampleex.X_GPbot_18_14
19,0.6810952059251975,0.7946356840768951,565.7333333333333,576,sampleex.X_GPbot_19_5
20,0.7082020960319226,0.8119030952231436,574.5333333333333,580,sampleex.X_GPbot_20_22
21,0.7050955391280597,0.8139378356186064,563.8666666666667,482,sampleex.X_GPbot_21_6
22,0.6820312689112591,0.8261055057901915,537.4666666666667,552,sampleex.X_GPbot_22_5
23,0.6487022295948965,0.8203865047772548,534.5333333333333,538,sampleex.X_GPbot_23_27
24,0.7057046231885579,0.8039795076954962,543.4,513,sampleex.X_GPbot_24_18
25,0.6870865211443168,0.8402956833666094,541.1,573,sampleex.X_GPbot_25_6
26,0.6665731055701872,0.8039805614820544,567.3333333333334,573,sampleex.X_GPbot_26_1
27,0.6961166182933388,0.8532469786613367,567.8,534,sampleex.X_GPbot_27_7
28,0.6863055231177859,0.8260488116539921,564.4666666666667,612,sampleex.X_GPbot_28_23
29,0.7119125779602576,0.8267104065963347,569.6,555,sampleex.X_GPbot_29_25
30,0.72646851598314,0.8231997458042862,568.7,572,sampleex.X_GPbot_30_17
31,0.7298925906573629,0.8505085182475528,576.3,535,sampleex.X_GPbot_31_21
32,0.6751242841867736,0.8512322737175405,575.7666666666667,535,sampleex.X_GPbot_32_0
33,0.6594064793765991,0.8302878566336865,587.2,623,sampleex.X_GPbot_33_14
34,0.7135240938562462,0.8299949494900069,571.3333333333334,569,sampleex.X_GPbot_34_28
35,0.6960679106038419,0.8331718632651048,560.1666666666666,594,sampleex.X_GPbot_35_17
36,0.6963536517097787,0.8312218239384324,549.6,569,sampleex.X_GPbot_36_2
37,0.7226779539454644,0.8295920315997277,552.5,558,sampleex.X_GPbot_37_20
38,0.6885165494732154,0.8478555885660285,560.9,577,sampleex.X_GPbot_38_4
39,0.7250570888258089,0.8465530289607832,572.5666666666667,622,sampleex.X_GPbot_39_9
40,0.7097592799605099,0.8160216457930377,583.3333333333334,592,sampleex.X_GPbot_40_19
41,0.6765155016067939,0.8395636787002769,563.1,592,sampleex.X_GPbot_41_4
42,0.699833254370064,0.8195415067369195,567.8,498,sampleex.X_GPbot_42_27
43,0.709067543258216,0.8117277196758875,541.2,459,sampleex.X_GPbot_43_28
44,0.7064252381905921,0.8141984474006145,529.6,551,sampleex.X_GPbot_44_15
45,0.7201950871633065,0.8114640209473144,520.9666666666667,534,sampleex.X_GPbot_45_22
46,0.7450000394321747,0.861777578678685,534.9,556,sampleex.X_GPbot_46_13
47,0.7218299430196512,0.8307537995016654,534.9666666666667,566,sampleex.X_GPbot_47_6
48,0.7437981973501552,0.856828130365673,556.9333333333333,466,sampleex.X_GPbot_48_4
49,0.7231001898395842,0.8186492227559875,521.6666666666666,497,sampleex.X_GPbot_49_20
