round, avgFit, bestFit, avgNode, bestNode, bestBotName
0,0.06596862317944512,0.5144472361809045,551.3,773,sampleex.X_GPbot_0_18
1,0.18395880367319759,0.5913705583756346,583.5333333333333,773,sampleex.X_GPbot_1_28
2,0.4164088182406396,0.6500668449197861,726.2,707,sampleex.X_GPbot_2_20
3,0.5181807485709016,0.6464746772591857,756.4666666666667,707,sampleex.X_GPbot_3_0
4,0.5457962675416209,0.674774148714385,717.1333333333333,707,sampleex.X_GPbot_4_0
5,0.5709566137734503,0.6803077999300454,695.5333333333333,553,sampleex.X_GPbot_5_28
6,0.5928544437345412,0.6909871244635193,657.8333333333334,686,sampleex.X_GPbot_6_8
7,0.5579041510251209,0.6682659355723098,646.0333333333333,725,sampleex.X_GPbot_7_16
8,0.5663127807138082,0.6689489900718932,655.0333333333333,717,sampleex.X_GPbot_8_12
9,0.5518476218321812,0.6788475052705552,660.9333333333333,456,sampleex.X_GPbot_9_28
10,0.5542957262040259,0.6559865092748736,597.4,615,sampleex.X_GPbot_10_5
11,0.5373466660457261,0.6965966690803765,614.4666666666667,689,sampleex.X_GPbot_11_3
12,0.5322012138304306,0.6715277777777777,617.3666666666667,671,sampleex.X_GPbot_12_12
13,0.5666218474086876,0.6849946789641717,581.4333333333333,574,sampleex.X_GPbot_13_17
14,0.5803614630084583,0.6691462982642579,578.6666666666666,574,sampleex.X_GPbot_14_0
15,0.5656284454113211,0.6566666666666666,585.6333333333333,605,sampleex.X_GPbot_15_17
16,0.5686100141181536,0.66473000683527,597.7666666666667,653,sampleex.X_GPbot_16_25
17,0.6122902154747939,0.6837637071100107,627.7,520,sampleex.X_GPbot_17_3
18,0.5577729188681225,0.7023593466424682,595.8333333333334,689,sampleex.X_GPbot_18_13
19,0.5893496583201696,0.6633831521739131,610.3666666666667,540,sampleex.X_GPbot_19_21
20,0.5841455175204622,0.6837370242214533,610.3666666666667,678,sampleex.X_GPbot_20_23
21,0.5491104176195929,0.6721934369602763,595.8333333333334,701,sampleex.X_GPbot_21_12
22,0.5517782427625323,0.6719232087761399,611.6333333333333,689,sampleex.X_GPbot_22_1
23,0.5659343319531487,0.6839689265536724,604.3666666666667,541,sampleex.X_GPbot_23_6
24,0.5344348683678699,0.6930660532369373,579.8666666666667,573,sampleex.X_GPbot_24_23
25,0.5282809639112341,0.7318911832186168,549.4,571,sampleex.X_GPbot_25_20
26,0.5882463157897011,0.6948924731182796,557.3666666666667,571,sampleex.X_GPbot_26_3
27,0.6005355151914553,0.7207523111252789,553.1333333333333,580,sampleex.X_GPbot_27_8
28,0.6364143829097977,0.7783902976846747,556.3333333333334,576,sampleex.X_GPbot_28_18
29,0.6209040141944867,0.7521937521937522,574.3666666666667,583,sampleex.X_GPbot_29_4
30,0.6234856330520249,0.7239717223650386,560.4,572,sampleex.X_GPbot_30_18
31,0.6216611094809888,0.7425919314530525,547.5,492,sampleex.X_GPbot_31_8
32,0.6342685966147935,0.7796112944627797,525.3333333333334,546,sampleex.X_GPbot_32_27
33,0.6141803769115928,0.7507012622720898,528.1666666666666,513,sampleex.X_GPbot_33_12
34,0.5848963975404493,0.7272433828276307,537.6666666666666,559,sampleex.X_GPbot_34_24
35,0.6324443849539187,0.8049684835001854,535.3666666666667,559,sampleex.X_GPbot_35_15
36,0.6583725278023163,0.7175018155410312,546.9666666666667,575,sampleex.X_GPbot_36_29
37,0.6237059419399308,0.7292307692307692,554.1333333333333,562,sampleex.X_GPbot_37_16
38,0.5775114534267729,0.7471800855698172,553.0666666666667,597,sampleex.X_GPbot_38_28
39,0.5973270534552757,0.7735234215885947,574.8,597,sampleex.X_GPbot_39_4
40,0.6436113584907249,0.7574790586358197,585.1666666666666,601,sampleex.X_GPbot_40_16
41,0.6499453386457454,0.7931309904153354,587.4,548,sampleex.X_GPbot_41_22
42,0.6391300228697855,0.7800574476815757,561.5666666666667,565,sampleex.X_GPbot_42_9
43,0.6281779069096627,0.7871070433744528,550.5333333333333,506,sampleex.X_GPbot_43_8
44,0.68962014797597,0.8348544111255976,526.3666666666667,502,sampleex.X_GPbot_44_7
45,0.7118968435206482,0.8043565954013715,513.1333333333333,479,sampleex.X_GPbot_45_14
46,0.7004474039303256,0.8363874345549738,477.73333333333335,522,sampleex.X_GPbot_46_17
47,0.7066365802123447,0.8106409719312945,494.43333333333334,529,sampleex.X_GPbot_47_12
48,0.7260083153988872,0.871012482662968,513.0666666666667,512,sampleex.X_GPbot_48_21
49,0.72670261238352,0.8231062209056285,515.4,536,sampleex.X_GPbot_49_11
50,0.7235946360203708,0.9528008298755186,508.06666666666666,488,sampleex.X_GPbot_50_2
51,0.6981850170289504,0.8580274214949137,491.8666666666667,473,sampleex.X_GPbot_51_25
52,0.7483152093049974,0.8901515151515151,469.1,504,sampleex.X_GPbot_52_8
53,0.7661128669777528,0.9242574257425743,471.3,504,sampleex.X_GPbot_53_11
54,0.7275434361719029,0.9177810797424467,472.3333333333333,476,sampleex.X_GPbot_54_29
55,0.7362296650224687,0.9145924841386042,440.9,476,sampleex.X_GPbot_55_27
56,0.709958573128482,0.9565899581589958,454.1,417,sampleex.X_GPbot_56_7
57,0.7528682519673033,0.9203539823008849,437.3333333333333,417,sampleex.X_GPbot_57_13
58,0.7663160138645659,0.9203323558162267,433.5,481,sampleex.X_GPbot_58_3
